Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
170.114.52.5-192.168.0.178-443-57207-6,192.168.0.178,57207,170.114.52.5,443,6,12-11-2022 18:50,107521183,8,8,0,0,0,0,0,0,0,0,0,0,0,0.148807887,7168078.867,7931862.722,1.54E+07,31,1.08E+08,1.54E+07,4670.126653,1.54E+07,1.54E+07,1.08E+08,1.54E+07,4630.793936,1.54E+07,1.54E+07,0,0,0,0,160,160,0.074403943,0.074403943,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,8,0,-1,8,0,0,93.28571429,102.858664,322,31,1.54E+07,4647.277928,1.54E+07,1.54E+07,VConf_Zoom
192.168.0.178-206.247.93.203-59229-8801-17,206.247.93.203,8801,192.168.0.178,59229,17,12-11-2022 18:50,119997771,32,1,2912,91,91,91,91,0,91,91,91,0,25.02546485,0.275005108,3749930.344,4212.420403,3757230,3743371,1.16E+08,3749978.29,4273.166556,3757230,3743371,0,0,0,0,0,0,0,0,0,256,8,0.26667162,0.008333488,91,91,91,0,0,0,0,0,0,0,0,0,0,0,93.75757576,91,91,0,0,0,0,0,0,32,2912,1,91,-1,-1,32,0,0,0,0,0,0,0,0,0,VConf_Zoom
170.114.52.5-192.168.0.178-443-57179-6,192.168.0.178,57179,170.114.52.5,443,6,12-11-2022 18:50,117703005,23,24,0,0,0,0,0,0,0,0,0,0,0,0.399310111,2558760.978,2586998.331,5123318,20,1.13E+08,5120047.364,1801.914314,5123338,5115009,1.18E+08,5117520.304,12247.01112,5123361,5061922,0,0,0,0,460,480,0.195407076,0.203903035,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,23,0,24,0,-1,8,0,0,51.27272727,26.97473565,142,20,5117471.261,12236.35491,5123318,5061922,VConf_Zoom
170.114.52.5-192.168.0.178-443-57180-6,192.168.0.178,57180,170.114.52.5,443,6,12-11-2022 18:50,117728420,23,24,0,0,0,0,0,0,0,0,0,0,0,0.399223909,2559313.478,2587551.845,5122799,36,1.13E+08,5120034.773,1415.624713,5122879,5117119,1.18E+08,5118625.304,6899.867525,5122836,5087614,0,0,0,0,460,480,0.195364892,0.203859017,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,23,0,24,0,-1,8,0,0,46.54545455,18.44354907,111,36,5118580.783,6890.616531,5122799,5087614,VConf_Zoom
192.168.0.178-206.247.93.203-59232-8801-17,206.247.93.203,8801,192.168.0.178,59232,17,12-11-2022 18:50,119996848,32,1,2912,91,91,91,91,0,91,91,91,0,25.02565734,0.275007224,3749901.5,5566.627507,3762671,3739947,1.16E+08,3750007.032,5626.009939,3762671,3739947,0,0,0,0,0,0,0,0,0,256,8,0.266673671,0.008333552,91,91,91,0,0,0,0,0,0,0,0,0,0,0,93.75757576,91,91,0,0,0,0,0,0,32,2912,1,91,-1,-1,32,0,0,0,0,0,0,0,0,0,VConf_Zoom
192.168.0.178-106.10.248.157-57241-443-6,192.168.0.178,57241,106.10.248.157,443,6,12-11-2022 18:53,204999,3,6,0,1460,0,0,0,0,1460,0,243.3333333,596.0425041,7121.985961,43.90265318,25624.875,35721.47641,96168,0,49197,24598.5,33868.2935,48547,650,204999,40999.8,38589.00561,97014,0,0,0,0,0,60,144,14.63421773,29.26843546,0,1460,146,461.6925384,213160,0,1,0,0,0,0,0,0,2,162.2222222,0,243.3333333,0,0,0,0,0,0,3,0,6,1460,-1,254,0,0,0,0,0,0,0,0,0,0,VConf_Zoom
192.168.0.178-106.10.248.157-57241-443-6,192.168.0.178,57241,106.10.248.157,443,6,12-11-2022 18:53,192,1,1,0,0,0,0,0,0,0,0,0,0,0,10416.66667,192,0,192,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,5208.333333,5208.333333,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,513,0,0,0,0,0,0,0,0,0,0,VConf_Zoom
170.114.15.99-192.168.0.178-443-57130-6,192.168.0.178,57130,170.114.15.99,443,6,12-11-2022 18:51,105270668,4,6,0,0,0,0,0,0,0,0,0,0,0,0.094993223,1.17E+07,1.25E+07,3.00E+07,44941,9.01E+07,3.00E+07,45926.08935,3.01E+07,3.00E+07,1.05E+08,2.11E+07,8217035.558,3.02E+07,1.49E+07,0,0,0,0,80,120,0.037997289,0.056995934,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,6,0,-1,27,0,0,60465.5,26239.64965,99710,44941,2.10E+07,8192387.738,3.00E+07,1.49E+07,VConf_Zoom
170.114.52.5-192.168.0.178-443-57207-6,192.168.0.178,57207,170.114.52.5,443,6,12-11-2022 18:52,31705885,3,4,0,0,0,0,0,0,0,0,0,0,0,0.220779202,5284314.167,7813754.956,1.54E+07,37,3.07E+07,1.54E+07,276.4787514,1.54E+07,1.54E+07,3.17E+07,1.06E+07,8298564.015,1.54E+07,986272,0,0,0,0,60,80,0.094619658,0.126159544,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,4,0,-1,8,0,0,37,0,37,37,1.54E+07,273.6503243,1.54E+07,1.54E+07,VConf_Zoom
192.168.0.178-52.149.21.60-57155-443-6,192.168.0.178,57155,52.149.21.60,443,6,12-11-2022 18:50,118827625,5,6,5761,1,1440,1,1152.2,643.5403639,1,0,0.166666667,0.40824829,48.49040785,0.092571067,1.19E+07,1.91E+07,4.50E+07,0,8.19E+07,2.05E+07,2.39E+07,4.52E+07,0,1.19E+08,2.38E+07,2.19E+07,4.52E+07,43487,0,0,0,0,100,144,0.042077758,0.050493309,0,1440,480.25,708.822471,502429.2955,0,0,0,0,1,0,0,0,1,523.9090909,1152.2,0.166666667,0,0,0,0,0,0,5,5761,6,1,-1,2052,5,0,209598.6667,843.4929361,210565,209010,3.93E+07,4933702.997,4.50E+07,3.64E+07,VConf_Zoom
